event,time,Cost,Duration,Email,Platform,Workspace,Owner,Segments
Outbound Calls,1748232000,1.274712,581.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748232000,0.887052,224.0 seconds,owner46@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1748232000,0.798819,184.0 seconds,user48d@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1748318400,0.893374,505.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748318400,0.834933,222.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748318400,0.825235,220.0 seconds,user43a@triostartup2.com,mobile,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1748318400,0.513484,130.0 seconds,user46d@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound SMS,1748318400,0.037526,,user46a@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,1
Outbound Calls,1748404800,1.625184,432.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748404800,0.279086,73.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748404800,1.200002,501.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748404800,0.401295,150.0 seconds,user40b@threepersonteam1.com,pipedrive,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1748404800,0.912835,234.0 seconds,user48a@growthcompany1.com,zoho,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1748404800,0.092811,,user47c@expandingcorp1.com,web,ExpandingCorp1,owner47@expandingcorp1.com,2
Outbound Calls,1748491200,1.367987,281.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748491200,1.343316,584.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748491200,0.452538,256.0 seconds,user31@startupduo1.com,monday,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1748491200,0.930934,391.0 seconds,user49b@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1748491200,0.047017,,user46a@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,1
Outbound Calls,1748577600,1.374,548.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748577600,1.769233,414.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748577600,1.709358,364.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748577600,0.927974,500.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748577600,1.206953,279.0 seconds,user40b@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1748577600,0.157723,43.0 seconds,user46c@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1748577600,0.663774,417.0 seconds,user49d@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1748577600,0.958487,337.0 seconds,user49e@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1748664000,1.048485,584.0 seconds,owner1@soloconsultant1.com,web,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1748664000,0.206714,62.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748664000,0.452199,304.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748664000,0.358658,307.0 seconds,owner26@soloentrepreneur3.com,web,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748664000,2.214041,585.0 seconds,owner26@soloentrepreneur3.com,mobile,SoloEntrepreneur3,owner26@soloentrepreneur3.com,
Outbound Calls,1748664000,0.215221,149.0 seconds,owner49@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1748750400,2.522463,558.0 seconds,user39a@triostartup1.com,mobile,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1748750400,1.006494,351.0 seconds,user46e@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1748750400,2.207143,543.0 seconds,user46e@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1748750400,1.428478,394.0 seconds,user48a@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1748836800,1.637674,502.0 seconds,user49e@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1748923200,0.727374,325.0 seconds,user46c@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1749009600,0.259626,163.0 seconds,user39a@triostartup1.com,mobile,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1749009600,1.277062,353.0 seconds,owner40@threepersonteam1.com,teams,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1749009600,1.387678,324.0 seconds,user48d@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1749009600,0.096621,,user46d@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,3
Outbound SMS,1749096000,0.016654,,owner43@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,1
Outbound Calls,1749182400,1.508174,377.0 seconds,user40b@threepersonteam1.com,mobile,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1749182400,0.72116,179.0 seconds,user42b@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1749268800,1.608528,544.0 seconds,owner49@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1749355200,0.822493,455.0 seconds,owner39@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1749355200,1.728564,424.0 seconds,user42b@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1749355200,2.07371,517.0 seconds,owner48@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1749355200,1.036828,549.0 seconds,user49c@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1749355200,0.104131,,user46f@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,4
Outbound Calls,1749614400,1.837939,533.0 seconds,user46c@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1749700800,0.705248,411.0 seconds,user46f@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound SMS,1749787200,0.012171,,owner42@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,1
Outbound SMS,1749787200,0.03569,,owner48@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,1
Outbound Calls,1749873600,0.270411,80.0 seconds,owner4@personalbrand1.com,web,PersonalBrand1,owner4@personalbrand1.com,
Outbound Calls,1749873600,0.586666,311.0 seconds,owner9@soloventure1.com,web,SoloVenture1,owner9@soloventure1.com,
Outbound Calls,1749873600,0.356239,97.0 seconds,owner39@triostartup1.com,pipedrive,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1749873600,0.055497,29.0 seconds,user40b@threepersonteam1.com,pipedrive,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1749873600,0.900525,598.0 seconds,user49c@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1749873600,0.654214,235.0 seconds,user49c@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1749873600,0.07708,,user42b@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,4
Outbound Calls,1749960000,0.431028,310.0 seconds,owner40@threepersonteam1.com,teams,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1749960000,1.775434,394.0 seconds,user40b@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound SMS,1749960000,0.077376,,user48f@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,2
Outbound Calls,1750046400,2.221924,599.0 seconds,owner9@soloventure1.com,mobile,SoloVenture1,owner9@soloventure1.com,
Outbound Calls,1750046400,0.360918,237.0 seconds,owner37@smallteam2.com,web,SmallTeam2,owner37@smallteam2.com,
Outbound Calls,1750046400,1.258955,328.0 seconds,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,
Outbound Calls,1750132800,0.219854,199.0 seconds,user46a@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound SMS,1750132800,0.028082,,user40a@threepersonteam1.com,web,ThreePersonTeam1,owner40@threepersonteam1.com,1
Outbound SMS,1750219200,0.083141,,user49b@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,2
Outbound Calls,1750305600,0.261428,234.0 seconds,user37@smallteam2.com,mobile,SmallTeam2,owner37@smallteam2.com,
Outbound Calls,1750305600,0.733842,208.0 seconds,owner49@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1750305600,0.115181,,user46d@mediumteam1.com,asana,MediumTeam1,owner46@mediumteam1.com,3
Outbound SMS,1750305600,0.187266,,user50i@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,4
Outbound Calls,1750392000,0.827728,199.0 seconds,user49a@scalingbusiness1.com,airtable,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound SMS,1750392000,0.059139,,user48c@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,2
Outbound SMS,1750478400,0.089315,,owner47@expandingcorp1.com,mobile,ExpandingCorp1,owner47@expandingcorp1.com,3
Outbound Calls,1750564800,2.273486,458.0 seconds,owner19@soloventure2.com,web,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1750564800,0.670713,217.0 seconds,user43a@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1750651200,0.512146,312.0 seconds,user40b@threepersonteam1.com,mobile,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1750651200,0.501943,151.0 seconds,user46a@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1750651200,0.045373,13.0 seconds,user46c@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1750651200,1.10458,343.0 seconds,owner47@expandingcorp1.com,mobile,ExpandingCorp1,owner47@expandingcorp1.com,
Outbound Calls,1750651200,0.494548,101.0 seconds,user50h@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1750737600,0.193345,88.0 seconds,user31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1750737600,0.853348,318.0 seconds,user40b@threepersonteam1.com,pipedrive,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1750737600,0.698474,153.0 seconds,user42b@smallcorp1.com,mobile,SmallCorp1,owner42@smallcorp1.com,
Outbound SMS,1750737600,0.069505,,user46c@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,3
Outbound SMS,1750737600,0.025767,,user50i@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,1
Outbound Calls,1750824000,0.884459,181.0 seconds,owner42@smallcorp1.com,web,SmallCorp1,owner42@smallcorp1.com,
Outbound Calls,1750824000,1.068597,294.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1750824000,0.059166,,user40a@threepersonteam1.com,freshsales,ThreePersonTeam1,owner40@threepersonteam1.com,2
Outbound SMS,1750824000,0.079284,,user48c@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,2
Outbound SMS,1750824000,0.087669,,user50a@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,2
Outbound SMS,1750824000,0.086955,,user50d@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,2
Outbound Calls,1750910400,0.395998,303.0 seconds,owner19@soloventure2.com,mobile,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1750910400,0.642752,472.0 seconds,user46b@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1750910400,2.109834,580.0 seconds,user50d@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1750910400,0.060246,,user47c@expandingcorp1.com,web,ExpandingCorp1,owner47@expandingcorp1.com,3
Outbound SMS,1750910400,0.032364,,user49e@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,2
Outbound Calls,1750996800,0.488045,115.0 seconds,owner19@soloventure2.com,mobile,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1750996800,0.361717,173.0 seconds,user50f@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1750996800,0.021594,,user37@smallteam2.com,web,SmallTeam2,owner37@smallteam2.com,2
Outbound SMS,1750996800,0.022646,,user39a@triostartup1.com,web,TrioStartup1,owner39@triostartup1.com,2
Outbound SMS,1750996800,0.070363,,owner43@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,2
Outbound Calls,1751083200,1.392768,451.0 seconds,user43a@triostartup2.com,web,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1751169600,0.84036,256.0 seconds,owner21@soloconsultant3.com,mobile,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1751169600,1.827039,440.0 seconds,user40a@threepersonteam1.com,freshsales,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1751169600,0.494791,125.0 seconds,owner46@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1751169600,0.970447,347.0 seconds,user46a@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1751169600,0.274718,167.0 seconds,user49c@scalingbusiness1.com,monday,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1751169600,2.33758,521.0 seconds,user50i@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751256000,1.35329,482.0 seconds,owner19@soloventure2.com,mobile,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1751256000,0.058687,29.0 seconds,owner21@soloconsultant3.com,web,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1751256000,1.445351,573.0 seconds,user46c@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1751256000,0.126496,88.0 seconds,user49b@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1751342400,1.681014,553.0 seconds,owner19@soloventure2.com,web,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1751342400,0.225259,197.0 seconds,user50i@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1751342400,0.182618,,user48g@growthcompany1.com,monday,GrowthCompany1,owner48@growthcompany1.com,4
Outbound SMS,1751342400,0.063497,,user49e@scalingbusiness1.com,web,ScalingBusiness1,owner49@scalingbusiness1.com,2
Outbound Calls,1751428800,1.036493,259.0 seconds,owner9@soloventure1.com,mobile,SoloVenture1,owner9@soloventure1.com,
Outbound Calls,1751428800,0.977317,212.0 seconds,owner37@smallteam2.com,web,SmallTeam2,owner37@smallteam2.com,
Outbound Calls,1751428800,1.127518,331.0 seconds,user50f@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1751428800,0.019782,,user35@duoventure1.com,web,DuoVenture1,owner35@duoventure1.com,1
Outbound Calls,1751515200,0.339919,157.0 seconds,owner21@soloconsultant3.com,web,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1751515200,2.073361,573.0 seconds,owner31@startupduo1.com,mobile,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1751515200,1.184365,317.0 seconds,user31@startupduo1.com,zoho,StartupDuo1,owner31@startupduo1.com,
Outbound Calls,1751515200,1.254659,337.0 seconds,owner40@threepersonteam1.com,teams,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1751515200,1.132601,328.0 seconds,user46f@mediumteam1.com,web,MediumTeam1,owner46@mediumteam1.com,
Outbound Calls,1751515200,1.09153,383.0 seconds,user50f@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751601600,0.94226,377.0 seconds,owner13@independentsales2.com,mobile,IndependentSales2,owner13@independentsales2.com,
Outbound Calls,1751601600,0.901814,199.0 seconds,user45c@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1751601600,1.018298,301.0 seconds,user45d@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1751601600,0.893263,432.0 seconds,user50f@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751601600,1.408315,382.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751688000,1.604196,483.0 seconds,owner19@soloventure2.com,activecampaign,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1751688000,1.001122,327.0 seconds,owner22@freelanceexpert3.com,mobile,FreelanceExpert3,owner22@freelanceexpert3.com,
Outbound Calls,1751688000,0.127663,104.0 seconds,user48a@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1751688000,0.180867,37.0 seconds,user50c@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751774400,1.322406,281.0 seconds,owner4@personalbrand1.com,mobile,PersonalBrand1,owner4@personalbrand1.com,
Outbound Calls,1751774400,1.972635,482.0 seconds,user48a@growthcompany1.com,zoho,GrowthCompany1,owner48@growthcompany1.com,
Outbound SMS,1751774400,0.019747,,owner43@triostartup2.com,mobile,TrioStartup2,owner43@triostartup2.com,1
Outbound Calls,1751860800,1.51687,304.0 seconds,owner13@independentsales2.com,web,IndependentSales2,owner13@independentsales2.com,
Outbound Calls,1751860800,0.432893,289.0 seconds,owner22@freelanceexpert3.com,mobile,FreelanceExpert3,owner22@freelanceexpert3.com,
Outbound Calls,1751860800,0.215225,59.0 seconds,user40b@threepersonteam1.com,pipedrive,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1751860800,0.549295,232.0 seconds,user45a@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1751860800,0.530361,192.0 seconds,user48b@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1751860800,0.675884,144.0 seconds,owner50@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1751860800,0.626429,304.0 seconds,user50e@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1751860800,0.081949,,user50e@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,3
Outbound Calls,1752033600,1.418015,286.0 seconds,owner1@soloconsultant1.com,mobile,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1752033600,0.717765,546.0 seconds,owner19@soloventure2.com,mobile,SoloVenture2,owner19@soloventure2.com,
Outbound Calls,1752033600,1.465496,376.0 seconds,user45c@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1752033600,0.753389,515.0 seconds,user50b@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound Calls,1752033600,0.751082,490.0 seconds,user50i@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1752033600,0.036511,,owner15@selfemployed2.com,close,SelfEmployed2,owner15@selfemployed2.com,1
Outbound SMS,1752033600,0.034332,,user42b@smallcorp1.com,mobile,SmallCorp1,owner42@smallcorp1.com,2
Outbound SMS,1752033600,0.14738,,user46e@mediumteam1.com,mobile,MediumTeam1,owner46@mediumteam1.com,4
Outbound SMS,1752033600,0.039968,,user50g@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,2
Outbound Calls,1752120000,2.056899,448.0 seconds,owner1@soloconsultant1.com,insightly,SoloConsultant1,owner1@soloconsultant1.com,
Outbound Calls,1752120000,1.073113,269.0 seconds,owner21@soloconsultant3.com,intercom,SoloConsultant3,owner21@soloconsultant3.com,
Outbound Calls,1752120000,1.224112,381.0 seconds,owner25@selfemployed3.com,web,SelfEmployed3,owner25@selfemployed3.com,
Outbound Calls,1752120000,0.22104,49.0 seconds,user43a@triostartup2.com,mobile,TrioStartup2,owner43@triostartup2.com,
Outbound Calls,1752120000,0.48947,192.0 seconds,owner49@scalingbusiness1.com,hubspot,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1752120000,0.312115,295.0 seconds,owner49@scalingbusiness1.com,mobile,ScalingBusiness1,owner49@scalingbusiness1.com,
Outbound Calls,1752206400,0.692007,341.0 seconds,user48b@growthcompany1.com,mobile,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1752206400,0.727408,435.0 seconds,user48e@growthcompany1.com,web,GrowthCompany1,owner48@growthcompany1.com,
Outbound Calls,1752206400,0.297457,153.0 seconds,user50f@largerteam1.com,mobile,LargerTeam1,owner50@largerteam1.com,
Outbound SMS,1752206400,0.04514,,owner43@triostartup2.com,mobile,TrioStartup2,owner43@triostartup2.com,1
Outbound SMS,1752206400,0.033118,,user47b@expandingcorp1.com,mobile,ExpandingCorp1,owner47@expandingcorp1.com,1
Outbound SMS,1752206400,0.062804,,user50e@largerteam1.com,web,LargerTeam1,owner50@largerteam1.com,3
Outbound Calls,1752292800,0.848919,253.0 seconds,owner16@soloentrepreneur2.com,mobile,SoloEntrepreneur2,owner16@soloentrepreneur2.com,
Outbound Calls,1752292800,0.551395,139.0 seconds,owner16@soloentrepreneur2.com,web,SoloEntrepreneur2,owner16@soloentrepreneur2.com,
Outbound Calls,1752292800,1.003981,277.0 seconds,owner40@threepersonteam1.com,teams,ThreePersonTeam1,owner40@threepersonteam1.com,
Outbound Calls,1752292800,0.402425,92.0 seconds,user45a@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1752292800,1.895761,481.0 seconds,user45a@growingstartup1.com,web,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1752292800,1.585779,511.0 seconds,user45c@growingstartup1.com,mobile,GrowingStartup1,owner45@growingstartup1.com,
Outbound Calls,1752379200,1.609934,333.0 seconds,user42a@smallcorp1.com,mobile,SmallCorp1,owner42@smallcorp1.com,
