event,time,distinct_id,Integration Platform,$distinct_id_before_identity
Integration Connected,1759809600,user45d@growingstartup1.com,zoho,
Integration Connected,1760155200,owner7@oneperson1.com,monday,
Integration Connected,1760155200,owner3@independentsales1.com,freshsales,
Integration Disconnected,1760587200,user45d@growingstartup1.com,klaviyo,
Integration Disconnected,1760673600,owner38@twopersoncorp2.com,monday,
Integration Connected,1761105600,owner27@oneperson3.com,engagebay,
Integration Connected,1761624000,owner18@individualbiz2.com,pipedrive,
Integration Connected,1761710400,owner8@individualbiz1.com,monday,
Integration Connected,1762146000,owner14@personalbrand2.com,monday,
Integration Connected,1762405200,owner14@personalbrand2.com,engagebay,
Integration Disconnected,1762491600,owner48@growthcompany1.com,asana,
Integration Connected,1762578000,owner6@soloentrepreneur1.com,slack,
Integration Connected,1762923600,owner6@soloentrepreneur1.com,discord,
Integration Connected,1762923600,owner30@freelancepro3.com,insightly,
Integration Disconnected,1763010000,user48a@growthcompany1.com,zoho,
Integration Connected,1763269200,owner30@freelancepro3.com,front,
Integration Connected,1763701200,owner30@freelancepro3.com,notion,
Integration Connected,1763787600,user32@smallteam1.com,trello,
Integration Connected,1764133200,owner36@startupduo2.com,discord,
Integration Connected,1764392400,owner14@personalbrand2.com,make,
Integration Connected,1764565200,user32@smallteam1.com,slack,
Integration Disconnected,1764651600,owner9@soloventure1.com,pipedrive,
Integration Connected,1764997200,owner36@startupduo2.com,zoho,
Integration Connected,1765342800,user36@startupduo2.com,mailchimp,
Integration Disconnected,1765774800,user36@startupduo2.com,mailchimp,
Integration Disconnected,1766206800,owner6@soloentrepreneur1.com,slack,
Integration Disconnected,1766379600,owner30@freelancepro3.com,insightly,
Integration Disconnected,1766984400,owner27@oneperson3.com,engagebay,
Integration Disconnected,1767157200,user42a@smallcorp1.com,nutshell,
