event,time,$email,Amount,Amount Breakdown,Refund Amount,Refunded Transaction Date,User Email
New Payment Made,1751342400,owner35@duoventure1.com,25.0,2500,,,
New Payment Made,1751515200,owner45@growingstartup1.com,75.0,"694, 574, 6232",,,
New Payment Made,1751860800,owner11@soloconsultant2.com,15.0,1500,,,
New Payment Made,1751860800,owner23@independentsales3.com,25.0,2500,,,
New Payment Made,1752206400,owner16@soloentrepreneur2.com,45.0,"1150, 3350",,,
New Payment Made,1752206400,owner42@smallcorp1.com,100.0,"719, 576, 8705",,,
New Payment Made,1752552000,owner31@startupduo1.com,75.0,"661, 532, 6307",,,
New Payment Made,1752897600,owner38@twopersoncorp2.com,75.0,"1187, 632, 5681",,,
New Payment Made,1753156800,owner34@partnershipbiz1.com,75.0,"519, 357, 6624",,,
New Payment Made,1753329600,owner41@trioventure1.com,35.0,"1026, 2474",,,
New Payment Made,1753588800,owner31@startupduo1.com,25.0,2500,,,
New Payment Made,1753848000,owner17@oneperson2.com,25.0,2500,,,
New Payment Made,1754280000,owner33@twopersoncorp1.com,35.0,"1052, 2448",,,
Refund Granted,1754366400,,,,45.0,2025-07-11T00:00:00,owner16@soloentrepreneur2.com
New Payment Made,1754452800,owner10@freelancepro1.com,15.0,1500,,,
New Payment Made,1754539200,owner28@individualbiz3.com,45.0,"1110, 3390",,,
New Payment Made,1754798400,owner23@independentsales3.com,45.0,"646, 3854",,,
New Payment Made,1754884800,owner22@freelanceexpert3.com,35.0,"567, 2933",,,
New Payment Made,1754884800,owner47@expandingcorp1.com,50.0,"668, 4332",,,
New Payment Made,1754971200,owner44@threepersonteam2.com,75.0,"1319, 741, 5440",,,
New Payment Made,1755144000,owner43@triostartup2.com,100.0,"1384, 673, 7943",,,
New Payment Made,1755403200,owner38@twopersoncorp2.com,35.0,"1451, 2049",,,
New Payment Made,1755748800,owner39@triostartup1.com,100.0,"623, 426, 8951",,,
New Payment Made,1755921600,owner45@growingstartup1.com,75.0,"932, 393, 6175",,,
Refund Granted,1756180800,,,,75.0,2025-08-12T00:00:00,owner44@threepersonteam2.com
New Payment Made,1756267200,owner46@mediumteam1.com,75.0,"1395, 772, 5333",,,
New Payment Made,1756612800,owner50@largerteam1.com,200.0,"1441, 736, 17823",,,
New Payment Made,1756785600,owner47@expandingcorp1.com,150.0,"718, 742, 13540",,,
New Payment Made,1757217600,owner5@selfemployed1.com,15.0,1500,,,
New Payment Made,1757217600,owner33@twopersoncorp1.com,35.0,"656, 2844",,,
New Payment Made,1757304000,owner50@largerteam1.com,50.0,"1371, 3629",,,
New Payment Made,1757736000,owner29@soloventure3.com,35.0,"1494, 2006",,,
New Payment Made,1757736000,owner50@largerteam1.com,75.0,"558, 791, 6151",,,
New Payment Made,1757908800,owner12@freelanceexpert2.com,15.0,1500,,,
New Payment Made,1757995200,owner38@twopersoncorp2.com,35.0,"1230, 2270",,,
New Payment Made,1757995200,owner47@expandingcorp1.com,50.0,"1492, 3508",,,
Refund Granted,1758081600,,,,15.0,2025-09-07T00:00:00,owner5@selfemployed1.com
New Payment Made,1758254400,owner29@soloventure3.com,15.0,1500,,,
New Payment Made,1759032000,owner7@oneperson1.com,35.0,"1328, 2172",,,
New Payment Made,1759118400,owner3@independentsales1.com,45.0,"532, 3968",,,
New Payment Made,1759204800,owner28@individualbiz3.com,15.0,1500,,,
New Payment Made,1759464000,owner18@individualbiz2.com,25.0,2500,,,
New Payment Made,1759896000,owner27@oneperson3.com,25.0,2500,,,
New Payment Made,1759982400,owner40@threepersonteam1.com,35.0,"734, 2766",,,
New Payment Made,1760587200,owner37@smallteam2.com,75.0,"1469, 581, 5450",,,
New Payment Made,1760673600,owner14@personalbrand2.com,25.0,2500,,,
New Payment Made,1760846400,owner17@oneperson2.com,35.0,"1218, 2282",,,
New Payment Made,1760932800,owner44@threepersonteam2.com,35.0,"562, 2938",,,
New Payment Made,1761105600,owner30@freelancepro3.com,35.0,"1287, 2213",,,
New Payment Made,1761192000,owner20@freelancepro2.com,35.0,"1363, 2137",,,
New Payment Made,1761451200,owner8@individualbiz1.com,45.0,"848, 3652",,,
New Payment Made,1761451200,owner48@growthcompany1.com,200.0,"1177, 667, 18156",,,
New Payment Made,1761883200,owner6@soloentrepreneur1.com,45.0,"725, 3775",,,
New Payment Made,1762232400,owner36@startupduo2.com,75.0,"1335, 335, 5830",,,
New Payment Made,1762491600,owner24@personalbrand3.com,35.0,"1264, 2236",,,
New Payment Made,1762923600,owner9@soloventure1.com,35.0,"604, 2896",,,
New Payment Made,1762923600,owner32@smallteam1.com,35.0,"1019, 2481",,,
New Payment Made,1763010000,owner37@smallteam2.com,35.0,"631, 2869",,,
Refund Granted,1763096400,,,,35.0,2025-10-20T00:00:00,owner44@threepersonteam2.com
New Payment Made,1763355600,owner48@growthcompany1.com,150.0,"792, 516, 13692",,,
New Payment Made,1763874000,owner43@triostartup2.com,100.0,"694, 348, 8958",,,
New Payment Made,1764392400,owner13@independentsales2.com,35.0,"1091, 2409",,,
New Payment Made,1764392400,owner34@partnershipbiz1.com,50.0,"745, 4255",,,
New Payment Made,1764478800,owner16@soloentrepreneur2.com,35.0,"666, 2834",,,
New Payment Made,1764738000,owner11@soloconsultant2.com,35.0,"1118, 2382",,,
New Payment Made,1764997200,owner46@mediumteam1.com,200.0,"600, 325, 19075",,,
New Payment Made,1765083600,owner26@soloentrepreneur3.com,15.0,1500,,,
New Payment Made,1765170000,owner15@selfemployed2.com,15.0,1500,,,
New Payment Made,1765256400,owner7@oneperson1.com,15.0,1500,,,
New Payment Made,1765256400,owner32@smallteam1.com,50.0,"1361, 3639",,,
New Payment Made,1765861200,owner25@selfemployed3.com,45.0,"870, 3630",,,
New Payment Made,1766034000,owner41@trioventure1.com,35.0,"1380, 2120",,,
New Payment Made,1766206800,owner32@smallteam1.com,25.0,2500,,,
New Payment Made,1766466000,owner12@freelanceexpert2.com,45.0,"580, 3920",,,
New Payment Made,1766466000,owner20@freelancepro2.com,25.0,2500,,,
New Payment Made,1766552400,owner34@partnershipbiz1.com,50.0,"1399, 3601",,,
Refund Granted,1766725200,,,,35.0,2025-11-30T00:00:00,owner16@soloentrepreneur2.com
New Payment Made,1767157200,owner33@twopersoncorp1.com,25.0,2500,,,
Refund Granted,1767330000,,,,15.0,2025-12-07T00:00:00,owner26@soloentrepreneur3.com
